Rua,Origin,Destination,date,hour,dayofweek,lengthInMeters,distance_km,travelTimeInSeconds,duration_minutes,duration_hours,average_speed,departureTime,arrivalTime,trafficDelayInSeconds,trafficLengthInMeters
Avenida Almirante Reis,Av. Alm. Reis 2,Av. Alm. Reis 248,2022-12-31,08:20,Saturday,2226,2.226,297,4.95,0.0825,26.98181818181818,2022-12-31T08:20:12Z,2022-12-31T08:25:08Z,0,0
Avenida Almirante Reis,Av. Alm. Reis 247,Av. Alm. Reis 1,2022-12-31,08:20,Saturday,2372,2.372,360,6.0,0.1,23.72,2022-12-31T08:20:12Z,2022-12-31T08:26:11Z,0,0
Avenida da Liberdade,"Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa","Marquis of Pombal Square, Lisboa",2022-12-31,08:20,Saturday,4455,4.455,558,9.3,0.155,28.741935483870968,2022-12-31T08:20:12Z,2022-12-31T08:29:29Z,0,0
Avenida da Liberdade,"Marquis of Pombal Square, Lisboa","Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa",2022-12-31,08:20,Saturday,2938,2.938,466,7.766666666666667,0.12944444444444445,22.696995708154507,2022-12-31T08:20:12Z,2022-12-31T08:27:58Z,0,0
