Rua,Origin,Destination,date,hour,dayofweek,lengthInMeters,distance_km,travelTimeInSeconds,duration_minutes,duration_hours,average_speed,departureTime,arrivalTime,trafficDelayInSeconds,trafficLengthInMeters
Avenida Almirante Reis,Av. Alm. Reis 2,Av. Alm. Reis 248,2022-09-08,17:23,Thursday,2539,2.539,716,11.933333333333334,0.1988888888888889,12.765921787709498,2022-09-08T18:23:45+01:00,2022-09-08T18:35:40+01:00,0,0
Avenida Almirante Reis,Av. Alm. Reis 247,Av. Alm. Reis 1,2022-09-08,17:23,Thursday,2372,2.372,559,9.316666666666666,0.15527777777777776,15.275849731663685,2022-09-08T18:23:45+01:00,2022-09-08T18:33:03+01:00,0,0
Avenida da Liberdade,"Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa","Marquis of Pombal Square, Lisboa",2022-09-08,17:23,Thursday,4455,4.455,1025,17.083333333333332,0.2847222222222222,15.646829268292684,2022-09-08T18:23:45+01:00,2022-09-08T18:40:50+01:00,307,690
Avenida da Liberdade,"Marquis of Pombal Square, Lisboa","Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa",2022-09-08,17:23,Thursday,2938,2.938,595,9.916666666666666,0.16527777777777777,17.776134453781513,2022-09-08T18:23:45+01:00,2022-09-08T18:33:40+01:00,0,0
