Rua,Origin,Destination,date,hour,dayofweek,lengthInMeters,distance_km,travelTimeInSeconds,duration_minutes,duration_hours,average_speed,departureTime,arrivalTime,trafficDelayInSeconds,trafficLengthInMeters
Avenida Almirante Reis,Av. Alm. Reis 2,Av. Alm. Reis 248,2022-07-07,17:18,Thursday,2226,2.226,680,11.333333333333334,0.18888888888888888,11.784705882352942,2022-07-07T18:18:59+01:00,2022-07-07T18:30:18+01:00,175,880
Avenida Almirante Reis,Av. Alm. Reis 247,Av. Alm. Reis 1,2022-07-07,17:18,Thursday,2372,2.372,544,9.066666666666666,0.1511111111111111,15.69705882352941,2022-07-07T18:18:59+01:00,2022-07-07T18:28:03+01:00,0,0
Avenida da Liberdade,"Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa","Marquis of Pombal Square, Lisboa",2022-07-07,17:18,Thursday,4541,4.541,1367,22.783333333333335,0.37972222222222224,11.958741770299927,2022-07-07T18:18:59+01:00,2022-07-07T18:41:45+01:00,325,418
Avenida da Liberdade,"Marquis of Pombal Square, Lisboa","Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa",2022-07-07,17:18,Thursday,3043,3.043,824,13.733333333333333,0.2288888888888889,13.294660194174758,2022-07-07T18:18:59+01:00,2022-07-07T18:32:42+01:00,240,397
