Rua,Origin,Destination,date,hour,dayofweek,lengthInMeters,distance_km,travelTimeInSeconds,duration_minutes,duration_hours,average_speed,departureTime,arrivalTime,trafficDelayInSeconds,trafficLengthInMeters
Avenida Almirante Reis,Av. Alm. Reis 2,Av. Alm. Reis 248,2022-10-02,14:17,Sunday,2226,2.226,354,5.9,0.09833333333333333,22.63728813559322,2022-10-02T15:17:36+01:00,2022-10-02T15:23:30+01:00,0,0
Avenida Almirante Reis,Av. Alm. Reis 247,Av. Alm. Reis 1,2022-10-02,14:17,Sunday,2372,2.372,415,6.916666666666667,0.11527777777777778,20.576385542168673,2022-10-02T15:17:37+01:00,2022-10-02T15:24:31+01:00,0,0
Avenida da Liberdade,"Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa","Marquis of Pombal Square, Lisboa",2022-10-02,14:17,Sunday,4455,4.455,611,10.183333333333334,0.16972222222222222,26.248772504091654,2022-10-02T15:17:37+01:00,2022-10-02T15:27:48+01:00,0,0
Avenida da Liberdade,"Marquis of Pombal Square, Lisboa","Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa",2022-10-02,14:17,Sunday,2938,2.938,546,9.1,0.15166666666666667,19.37142857142857,2022-10-02T15:17:37+01:00,2022-10-02T15:26:43+01:00,0,0
