Rua,Origin,Destination,date,hour,dayofweek,lengthInMeters,distance_km,travelTimeInSeconds,duration_minutes,duration_hours,average_speed,departureTime,arrivalTime,trafficDelayInSeconds,trafficLengthInMeters
Avenida Almirante Reis,Av. Alm. Reis 2,Av. Alm. Reis 248,2022-09-22,17:24,Thursday,2226,2.226,677,11.283333333333333,0.18805555555555556,11.836927621861152,2022-09-22T18:24:48+01:00,2022-09-22T18:36:04+01:00,111,469
Avenida Almirante Reis,Av. Alm. Reis 247,Av. Alm. Reis 1,2022-09-22,17:24,Thursday,2372,2.372,550,9.166666666666666,0.1527777777777778,15.52581818181818,2022-09-22T18:24:48+01:00,2022-09-22T18:33:57+01:00,0,0
Avenida da Liberdade,"Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa","Marquis of Pombal Square, Lisboa",2022-09-22,17:24,Thursday,4455,4.455,1008,16.8,0.28,15.910714285714285,2022-09-22T18:24:49+01:00,2022-09-22T18:41:37+01:00,190,655
Avenida da Liberdade,"Marquis of Pombal Square, Lisboa","Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa",2022-09-22,17:24,Thursday,2938,2.938,641,10.683333333333334,0.17805555555555555,16.50046801872075,2022-09-22T18:24:49+01:00,2022-09-22T18:35:30+01:00,56,164
