Rua,Origin,Destination,date,hour,dayofweek,lengthInMeters,distance_km,travelTimeInSeconds,duration_minutes,duration_hours,average_speed,departureTime,arrivalTime,trafficDelayInSeconds,trafficLengthInMeters
Avenida Almirante Reis,Av. Alm. Reis 2,Av. Alm. Reis 248,2022-08-29,08:26,Monday,2226,2.226,366,6.1,0.10166666666666667,21.895081967213113,2022-08-29T09:26:55+01:00,2022-08-29T09:33:01+01:00,0,0
Avenida Almirante Reis,Av. Alm. Reis 247,Av. Alm. Reis 1,2022-08-29,08:26,Monday,2372,2.372,521,8.683333333333334,0.14472222222222222,16.390019193857963,2022-08-29T09:26:55+01:00,2022-08-29T09:35:35+01:00,0,0
Avenida da Liberdade,"Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa","Marquis of Pombal Square, Lisboa",2022-08-29,08:26,Monday,4455,4.455,629,10.483333333333333,0.17472222222222222,25.497615262321144,2022-08-29T09:26:55+01:00,2022-08-29T09:37:23+01:00,0,0
Avenida da Liberdade,"Marquis of Pombal Square, Lisboa","Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa",2022-08-29,08:26,Monday,2938,2.938,664,11.066666666666666,0.18444444444444444,15.928915662650605,2022-08-29T09:26:55+01:00,2022-08-29T09:37:59+01:00,137,141
