Rua,Origin,Destination,date,hour,dayofweek,lengthInMeters,distance_km,travelTimeInSeconds,duration_minutes,duration_hours,average_speed,departureTime,arrivalTime,trafficDelayInSeconds,trafficLengthInMeters
Avenida Almirante Reis,Av. Alm. Reis 2,Av. Alm. Reis 248,2022-12-30,18:17,Friday,2226,2.226,570,9.5,0.15833333333333333,14.058947368421054,2022-12-30T18:17:42Z,2022-12-30T18:27:11Z,0,0
Avenida Almirante Reis,Av. Alm. Reis 247,Av. Alm. Reis 1,2022-12-30,18:17,Friday,2372,2.372,564,9.4,0.15666666666666668,15.140425531914891,2022-12-30T18:17:43Z,2022-12-30T18:27:07Z,0,0
Avenida da Liberdade,"Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa","Marquis of Pombal Square, Lisboa",2022-12-30,18:17,Friday,4455,4.455,857,14.283333333333333,0.23805555555555555,18.71411901983664,2022-12-30T18:17:43Z,2022-12-30T18:31:59Z,0,0
Avenida da Liberdade,"Marquis of Pombal Square, Lisboa","Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa",2022-12-30,18:17,Friday,2938,2.938,819,13.65,0.2275,12.914285714285715,2022-12-30T18:17:43Z,2022-12-30T18:31:22Z,259,576
