Rua,Origin,Destination,date,hour,dayofweek,lengthInMeters,distance_km,travelTimeInSeconds,duration_minutes,duration_hours,average_speed,departureTime,arrivalTime,trafficDelayInSeconds,trafficLengthInMeters
Avenida Almirante Reis,Av. Alm. Reis 2,Av. Alm. Reis 248,2022-06-28,18:26,Tuesday,2226,2.226,500,8.333333333333334,0.1388888888888889,16.0272,2022-06-28T19:26:07+01:00,2022-06-28T19:34:27+01:00,95,417
Avenida Almirante Reis,Av. Alm. Reis 247,Av. Alm. Reis 1,2022-06-28,18:26,Tuesday,2372,2.372,463,7.716666666666667,0.12861111111111112,18.443196544276457,2022-06-28T19:26:07+01:00,2022-06-28T19:33:49+01:00,0,0
Avenida da Liberdade,"Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa","Marquis of Pombal Square, Lisboa",2022-06-28,18:26,Tuesday,4456,4.456,875,14.583333333333334,0.24305555555555555,18.333257142857146,2022-06-28T19:26:07+01:00,2022-06-28T19:40:42+01:00,258,579
Avenida da Liberdade,"Marquis of Pombal Square, Lisboa","Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa",2022-06-28,18:26,Tuesday,2939,2.939,514,8.566666666666666,0.14277777777777778,20.58443579766537,2022-06-28T19:26:07+01:00,2022-06-28T19:34:41+01:00,0,0
