Rua,Origin,Destination,date,hour,dayofweek,lengthInMeters,distance_km,travelTimeInSeconds,duration_minutes,duration_hours,average_speed,departureTime,arrivalTime,trafficDelayInSeconds,trafficLengthInMeters
Avenida Almirante Reis,Av. Alm. Reis 2,Av. Alm. Reis 248,2022-06-08,16:15,Wednesday,2756,2.756,833,13.883333333333333,0.2313888888888889,11.910684273709483,2022-06-08T17:15:51+01:00,2022-06-08T17:29:43+01:00,172,227
Avenida Almirante Reis,Av. Alm. Reis 247,Av. Alm. Reis 1,2022-06-08,16:15,Wednesday,2372,2.372,555,9.25,0.15416666666666667,15.385945945945945,2022-06-08T17:15:51+01:00,2022-06-08T17:25:05+01:00,0,0
Avenida da Liberdade,"Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa","Marquis of Pombal Square, Lisboa",2022-06-08,16:15,Wednesday,4249,4.249,1035,17.25,0.2875,14.779130434782608,2022-06-08T17:15:51+01:00,2022-06-08T17:33:06+01:00,0,0
Avenida da Liberdade,"Marquis of Pombal Square, Lisboa","Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa",2022-06-08,16:15,Wednesday,2939,2.939,570,9.5,0.15833333333333333,18.562105263157896,2022-06-08T17:15:52+01:00,2022-06-08T17:25:21+01:00,0,0
