Rua,Origin,Destination,date,hour,dayofweek,lengthInMeters,distance_km,travelTimeInSeconds,duration_minutes,duration_hours,average_speed,departureTime,arrivalTime,trafficDelayInSeconds,trafficLengthInMeters
Avenida Almirante Reis,Av. Alm. Reis 2,Av. Alm. Reis 248,2022-06-20,16:18,Monday,2226,2.226,810,13.5,0.225,9.893333333333333,2022-06-20T17:18:30+01:00,2022-06-20T17:32:00+01:00,405,1505
Avenida Almirante Reis,Av. Alm. Reis 247,Av. Alm. Reis 1,2022-06-20,16:18,Monday,2372,2.372,533,8.883333333333333,0.14805555555555555,16.021013133208253,2022-06-20T17:18:30+01:00,2022-06-20T17:27:22+01:00,0,0
Avenida da Liberdade,"Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa","Marquis of Pombal Square, Lisboa",2022-06-20,16:18,Monday,4456,4.456,1069,17.816666666666666,0.29694444444444446,15.006173994387279,2022-06-20T17:18:30+01:00,2022-06-20T17:36:18+01:00,395,693
Avenida da Liberdade,"Marquis of Pombal Square, Lisboa","Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa",2022-06-20,16:18,Monday,2939,2.939,540,9.0,0.15,19.593333333333334,2022-06-20T17:18:30+01:00,2022-06-20T17:27:29+01:00,0,0
