Rua,Origin,Destination,date,hour,dayofweek,lengthInMeters,distance_km,travelTimeInSeconds,duration_minutes,duration_hours,average_speed,departureTime,arrivalTime,trafficDelayInSeconds,trafficLengthInMeters
Avenida Almirante Reis,Av. Alm. Reis 2,Av. Alm. Reis 248,2023-01-26,14:12,Thursday,2226,2.226,518,8.633333333333333,0.1438888888888889,15.47027027027027,2023-01-26T14:12:46Z,2023-01-26T14:21:24Z,0,0
Avenida Almirante Reis,Av. Alm. Reis 247,Av. Alm. Reis 1,2023-01-26,14:12,Thursday,2372,2.372,523,8.716666666666667,0.14527777777777778,16.32734225621415,2023-01-26T14:12:46Z,2023-01-26T14:21:28Z,0,0
Avenida da Liberdade,"Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa","Marquis of Pombal Square, Lisboa",2023-01-26,14:12,Thursday,4455,4.455,738,12.3,0.205,21.731707317073173,2023-01-26T14:12:46Z,2023-01-26T14:25:03Z,0,0
Avenida da Liberdade,"Marquis of Pombal Square, Lisboa","Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa",2023-01-26,14:12,Thursday,2938,2.938,599,9.983333333333333,0.1663888888888889,17.657429048414023,2023-01-26T14:12:46Z,2023-01-26T14:22:45Z,0,0
