Rua,Origin,Destination,date,hour,dayofweek,lengthInMeters,distance_km,travelTimeInSeconds,duration_minutes,duration_hours,average_speed,departureTime,arrivalTime,trafficDelayInSeconds,trafficLengthInMeters
Avenida Almirante Reis,Av. Alm. Reis 2,Av. Alm. Reis 248,2022-08-12,17:18,Friday,2226,2.226,658,10.966666666666667,0.1827777777777778,12.178723404255319,2022-08-12T18:18:13+01:00,2022-08-12T18:29:10+01:00,0,0
Avenida Almirante Reis,Av. Alm. Reis 247,Av. Alm. Reis 1,2022-08-12,17:18,Friday,2372,2.372,589,9.816666666666666,0.16361111111111112,14.497792869269947,2022-08-12T18:18:13+01:00,2022-08-12T18:28:02+01:00,0,0
Avenida da Liberdade,"Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa","Marquis of Pombal Square, Lisboa",2022-08-12,17:18,Friday,4455,4.455,905,15.083333333333334,0.2513888888888889,17.721546961325966,2022-08-12T18:18:13+01:00,2022-08-12T18:33:17+01:00,107,355
Avenida da Liberdade,"Marquis of Pombal Square, Lisboa","Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa",2022-08-12,17:18,Friday,2938,2.938,603,10.05,0.1675,17.540298507462687,2022-08-12T18:18:13+01:00,2022-08-12T18:28:16+01:00,0,0
