Rua,Origin,Destination,date,hour,dayofweek,lengthInMeters,distance_km,travelTimeInSeconds,duration_minutes,duration_hours,average_speed,departureTime,arrivalTime,trafficDelayInSeconds,trafficLengthInMeters
Avenida Almirante Reis,Av. Alm. Reis 2,Av. Alm. Reis 248,2022-11-06,14:14,Sunday,2226,2.226,340,5.666666666666667,0.09444444444444444,23.569411764705883,2022-11-06T14:14:21Z,2022-11-06T14:20:00Z,0,0
Avenida Almirante Reis,Av. Alm. Reis 247,Av. Alm. Reis 1,2022-11-06,14:14,Sunday,2372,2.372,405,6.75,0.1125,21.084444444444443,2022-11-06T14:14:21Z,2022-11-06T14:21:05Z,0,0
Avenida da Liberdade,"Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa","Marquis of Pombal Square, Lisboa",2022-11-06,14:14,Sunday,4455,4.455,607,10.116666666666667,0.1686111111111111,26.421746293245473,2022-11-06T14:14:21Z,2022-11-06T14:24:27Z,0,0
Avenida da Liberdade,"Marquis of Pombal Square, Lisboa","Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa",2022-11-06,14:14,Sunday,2938,2.938,708,11.8,0.19666666666666666,14.93898305084746,2022-11-06T14:14:21Z,2022-11-06T14:26:09Z,188,415
