Rua,Origin,Destination,date,hour,dayofweek,lengthInMeters,distance_km,travelTimeInSeconds,duration_minutes,duration_hours,average_speed,departureTime,arrivalTime,trafficDelayInSeconds,trafficLengthInMeters
Avenida Almirante Reis,Av. Alm. Reis 2,Av. Alm. Reis 248,2022-07-27,18:21,Wednesday,2226,2.226,546,9.1,0.15166666666666667,14.676923076923076,2022-07-27T19:21:20+01:00,2022-07-27T19:30:25+01:00,152,673
Avenida Almirante Reis,Av. Alm. Reis 247,Av. Alm. Reis 1,2022-07-27,18:21,Wednesday,2372,2.372,482,8.033333333333333,0.1338888888888889,17.716182572614105,2022-07-27T19:21:20+01:00,2022-07-27T19:29:21+01:00,0,0
Avenida da Liberdade,"Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa","Marquis of Pombal Square, Lisboa",2022-07-27,18:21,Wednesday,4455,4.455,1172,19.533333333333335,0.32555555555555554,13.684300341296929,2022-07-27T19:21:20+01:00,2022-07-27T19:40:51+01:00,567,1188
Avenida da Liberdade,"Marquis of Pombal Square, Lisboa","Monumento aos Restauradores, Praça dos Restauradores 58, 1150-265 Lisboa",2022-07-27,18:21,Wednesday,2938,2.938,538,8.966666666666667,0.14944444444444444,19.65947955390335,2022-07-27T19:21:20+01:00,2022-07-27T19:30:18+01:00,0,0
